No,year,month,rate,avr_air_pressure,avr_wind_spd,rel_humidity,month_sun,hour_sun,extreme_wind_speed,min_air_pressure,max_temp,day_max_precipitation,power,industrial_add,sales_rate,fin_budget,cpi,pas_turn,im_ex,ex_factory_index
1,2005,1,4.634,1014.6143,2.6143,58.5714,64.1429,191.9,15.8429,997.8571,3.3143,4.0857,69.21,33.8,95.75,43.6,102.55,83789.25,3160980,107.13
2,2005,2,3.6555,1016.8714,2.7857,53.4286,64.7143,194.0143,14.3,1000.5286,4.4286,4.6571,64.45,18.1,96.38,49.3,103.4,94689,2959660,105.81
3,2005,3,5.8114,1010.2429,3.4571,43.5714,71.8571,267.9,17.8429,997.2286,17.6429,4.0679,74.39,29.7,98.46,27.8,102.75,84280.5,4583577,105.73
4,2005,4,5.6219,1001.0857,3.6286,50,57.8571,231.0286,18.6571,979.6857,26.0429,24.4857,69.38,25.1,98.15,22.9,102.05,89186,4464550,105.86
5,2005,5,5.3613,999.4857,3.0857,60.1429,56,251.5286,18.7,988.8571,28.0857,56.7857,71.67,24.1,97.64,23.3,102.45,94300.5,3772627,106.17
6,2005,6,5.077,993.3286,2.6429,77.2857,39.2857,176.4857,17.3714,984.1714,30.9,36.7,68,19.9,98.29,22.3,102.25,87125.5,4197710,105.85
7,2005,7,4.8733,995.2143,2.2571,80,39.1429,178.4143,16.0286,984.7,33.1857,59.1286,69.19,22.2,99.28,22.2,102.75,89362,4129866,105.22
8,2005,8,5.0865,998.3571,2.3,81.5714,40,168.1714,15.2571,987.9143,31.9143,56.9571,78.99,15.6,98.54,22.2,102.8,94968,4101492,105.39
9,2005,9,4.3047,1006.3143,2.3,70.4286,61.8571,228.9571,13.7714,995.4571,30.1429,27.2714,70.81,19.2,96.23,28.4,102.4,92356,3995620,104.8
10,2005,10,3.5347,1010.7,2.7429,62.7143,69.1429,234.7,16.8429,999.3571,24.3143,17.0143,73.81,15,98.36,26.8,102.05,97731,3473782,104.03
11,2005,11,3.9635,1010.4286,2.3,58.7143,67.4286,197.3857,16,997.0714,19.6,4.4107,76.04,19,97.64,27.1,101.9,91353.5,3795022,103
12,2005,12,3.3144,1017.8571,2.3857,58.8571,63,179.7286,14.1286,1000.8714,4.1714,6.4429,90.59,17.5,100.16,22.7,101.35,110459.125,4418001,102.7
13,2006,1,5.2775,1017.5429,2.2571,62.2857,58.4286,174,14,1006.1571,4.1143,4.2429,80.17,18.9,96.8592,7.2,101.675,99784.5,3286785,104.48
14,2006,2,5.0269,1016.4571,3.3286,59.7143,57.1429,170.9571,19.4286,996.3714,8.8857,8.5571,77.11,18.2,96.66,14.8,102.225,99419.5,2925048,103.27
15,2006,3,5.8394,1005.9857,3.4429,53.7143,61.2857,227.8857,17.4571,993.1143,14.2429,4.9185,86.9,18.4,97.04,22.2,101.68,98250,4327488,103.31
16,2006,4,5.9049,1001.1571,3.5429,57.5714,48.8571,195.8143,19.6,980.8857,22.5143,12.4857,77.62,15.3,97.92,22.4,101.705,99906.5,4285696,103.57
17,2006,5,5.5982,1001.0714,3.2,58.1429,56.7143,254.7571,17.8571,989.9,30.3286,16.2714,82.92,19.5,96.98,15.8,101.22,112699.5,4447897,103.18
18,2006,6,5.0339,994.5143,2.7286,74,44,198.7,16.1571,979.5714,32.5714,53.3857,85.75,26.4,98.82,18,100.99,100958.5,4503581,104.92
19,2006,7,4.6172,994.8714,2.5714,81.8571,37.8571,173.2143,15.0429,985.8143,31.6286,53.8143,88.45,21.4,98.91,18.1,100.455,108064.5,4640259,104.79
20,2006,8,4.6874,998.4143,2.4571,80.7143,45.5714,191.4286,13.9714,991.2143,32.3143,43.5857,87.74,19,98.98,18.1,100.16,111228,4614801,104.45
21,2006,9,4.0412,1005.6143,2.3429,73.1429,64.8571,239.8286,13.2429,993.5714,29.7286,14.6714,81.41,19.2,99.24,20.1,100.42,104576,5078361,104.45
22,2006,10,4.1185,1009.0857,2.8571,67.5714,59.5714,202.5286,19.1429,1000.0571,28.2429,28.4857,79.74,19,98.84,21.1,101.38,108529,4172665,104.4
23,2006,11,3.4301,1010.7571,2.9571,61.1429,58.8571,171.6429,16.4429,993.9857,19.5857,8.9,85.7,18.7,97.47,20.8,101.655,98569.5,4955237,104.07
24,2006,12,1.9668,1017.6571,2.6714,63.4286,53.2857,152.6286,15.7286,1005.0571,7.3286,2.3792,90,22,99.4,21,102.93,114012.4583,5186632,104.61
25,2007,1,6.0377,1017.7714,2.2714,65,58.2857,173.2143,15.4,1005.5714,4.0571,3.1435,82.41,19.65,96.6992,26.2,102.62,101905,4482993,104.5
26,2007,2,5.0838,1010.7143,3.0429,59.5714,62,185.6143,18.8143,997.8,12.0857,6.5458,69.85,18.1,96.7,34.7,101.81,108922,4449278,103.96
27,2007,3,5.819,1008.6571,3.2571,64.5714,54.4286,202.7,23.0286,988.7714,14.8143,47.2714,79.65,15.3,96.8,32.3,104.18,99436,4423311,104.08
28,2007,4,5.798,1004.8143,3.3429,55.4286,57.1429,228.5571,16.4571,989.9,26.8429,17.7143,78.77,19.3,97.2,33.5,103.385,103956,5465298,103.78
29,2007,5,5.812,996.1,3.1,57,59.1429,265.7714,18.8,983.5143,29.0857,27.1714,77.42,19.1,97.7,35.4,104.15,117325,5502839,103.65
30,2007,6,5.4118,997.0857,3.1286,64.4286,59.4286,268.7,17.2429,986.4,34.0571,29.9429,86,28.7,96.7,36.1,105.88,114381,5414922,103.03
31,2007,7,5.0279,993.8,2.3143,81.8571,41.1429,187.0571,13.8,985.4286,33.2571,57.1857,97.36,18.5,97.8,36.1,107.395,120235,6141220,102.94
32,2007,8,4.551,997.3857,2.3571,81.2857,49.1429,207.6857,15.6857,983.4286,32.3286,53.3429,91.87,20.7,97.8,36.5,108.695,124806,5944090,103.45
33,2007,9,3.9483,1003.9714,2.1,72.4286,62.2857,230.5571,13.5286,996.1429,30.7286,24.8429,97.86,24.5,98.5,37.4,107.59,120481.5,5335076,104.1
34,2007,10,3.8739,1010.7286,2.5143,68.2857,53,180.2857,15.4714,998.1857,25.6714,20.1,91.98,19.5,99.5,37.5,107.095,124568,5524662,105.07
35,2007,11,3.3527,1014.7,2.8714,61.4286,59.5714,175.0143,16.4429,1002.5286,15.4429,12.9857,98.08,18.6,99.1,37.4,108.68,117773.5,6117827,106.66
36,2007,12,1.8776,1013.6571,2.2714,69.7143,55,156.5571,14.7429,1002.3143,5.1571,4.6143,102.56,13.8,100.3,32.3,108.515,119770.4583,6336637,108.08
37,2008,1,6.6304,1019.9857,2.6571,52.8571,73.5714,218.9714,14.5571,1005.8857,3.7571,3.2315,106.37,19.1917,96.5458,51.7,108.625,115838,6137086,109.82
38,2008,2,5.9305,1016.2,2.7429,47.8571,73.7143,229.0286,16.3571,995.4714,10.9571,1.0786,87.62,17.7,97.5,39.7,109.88,127679.5,5055134,109.55
39,2008,3,5.9235,1007.9286,3.1286,57.2857,54.4286,201.4286,16.4714,996.1714,16.3143,9.4571,105.45,20.3,97.2,36.99,108.13,117103,6722704,112.71
40,2008,4,6.3105,1003.3714,3.4429,57.1429,53.5714,214.5714,16.9571,990.3714,26.5714,13.4286,98.78,19.5,97.3,34.3,108.205,120127.5,6464130,112.53
41,2008,5,5.9374,997.9143,3.0286,66.5714,48.5714,217.6714,16,987.5857,26.7714,20.3429,96.59,20.7,98.3,33.6,107.19,127221.5,6403167,112.69
42,2008,6,5.5504,997.9857,2.5286,78.8571,38.7143,174.5857,14.1,989.4714,31.3143,38.7429,95.57,20.2,97.1,32.8,106.02,119242.5,7346104,114.39
43,2008,7,5.3534,995.1857,2.4,85.8571,37.7143,171.3286,14.1143,982.3714,32.7857,58.2571,99.02,16.5,98.6,30.6,104.865,133999,7826399,115.9
44,2008,8,4.7995,997.7571,2.3857,82.8571,53.7143,226.8857,14.0571,988.1571,32.5,48.8857,104.02,17.1,97.1,29.1,103.46,139849.5,9107958,116.52
45,2008,9,4.1414,1003.9571,2.4714,69.5714,67,248.4857,16.3,995.2857,29.9286,20.6,87.84,16.9,96.8,29.3,103.275,137608,8412677,113.27
46,2008,10,4.2688,1008.2429,2.6571,63.7143,65.2857,221.4571,16.0143,996.8571,25.0143,17.1,81.56,15,98,27.1,102.49,142667.5,6962336,110.4
47,2008,11,3.5805,1012.2714,2.8714,56.5714,68.1429,200.5429,17.4,996.8429,18.4429,3.325,78.41,9.1,97.2,25.6,99.63,131936,6404976,103.3
48,2008,12,1.7497,1013.4857,3.2429,53.2857,60.7143,173.5429,17.0714,999.5571,11,7.747,88.99,9,97.7,25.2,98.49,130238.5833,5480035,99.46
49,2009,1,5.2615,1016.1714,2.7,55.5714,67.8571,202.2571,16.0143,1000.2714,6.5714,4.6804,84.15,16.6583,96.9917,4.5,99.005,124180.5,4470131,95.62
50,2009,2,5.061,1011.2286,2.8,57.7143,65,194.7,17.6714,987.5714,10.0286,19.6857,80.02,13.3,94.7,8.1,98.365,130298.5,4008011,94.9
51,2009,3,6.2635,1009.1857,3.3857,52.5714,66.1429,246.8571,18.1,987.5857,18.3,3.8143,89.45,14,96,9.4,98.135,135735,4426228,93.13
52,2009,4,5.9572,1004.3571,3.2429,57,58.2857,233.8143,18.5286,985,25.4429,47.4571,87.54,12,96.9,8.3,98.9,131568,4644273,92.14
