Year,Month,Ex-factory price index of industrial products
2005,1,107.13
2005,2,105.81
2005,3,105.73
2005,4,105.86
2005,5,106.17
2005,6,105.85
2005,7,105.22
2005,8,105.39
2005,9,104.8
2005,10,104.03
2005,11,103
2005,12,102.7
2006,1,104.48
2006,2,103.27
2006,3,103.31
2006,4,103.57
2006,5,103.18
2006,6,104.92
2006,7,104.79
2006,8,104.45
2006,9,104.45
2006,10,104.4
2006,11,104.07
2006,12,104.61
2007,1,104.5
2007,2,103.96
2007,3,104.08
2007,4,103.78
2007,5,103.65
2007,6,103.03
2007,7,102.94
2007,8,103.45
2007,9,104.1
2007,10,105.07
2007,11,106.66
2007,12,108.08
2008,1,109.82
2008,2,109.55
2008,3,112.71
2008,4,112.53
2008,5,112.69
2008,6,114.39
2008,7,115.9
2008,8,116.52
2008,9,113.27
2008,10,110.4
2008,11,103.3
2008,12,99.46
2009,1,95.62
2009,2,94.9
2009,3,93.13
2009,4,92.14
2009,5,91.04
2009,6,90.49
2009,7,90.04
2009,8,90.9
2009,9,91.98
2009,10,93.71
2009,11,100.15
2009,12,104.24
2010,1,105.81
2010,2,106.68
2010,3,109.39
2010,4,110.09
2010,5,110.91
2010,6,109.39
2010,7,107.27
2010,8,105.2
2010,9,105.41
2010,10,105.76
2010,11,106.67
2010,12,106.58
2011,1,106.58
2011,2,107.13
2011,3,107.35
2011,4,107.48
2011,5,107.43
2011,6,107.61
2011,7,107.75
2011,8,107.39
2011,9,106.85
2011,10,105.64
2011,11,103.98
2011,12,103.24
2012,1,102.54
2012,2,101.97
2012,3,101.77
2012,4,101.27
2012,5,100.44
2012,6,99.46
2012,7,98.42
2012,8,98.04
2012,9,97.93
2012,10,98.62
2012,11,99.39
2012,12,99.72
2013,1,99.77
2013,2,99.71
2013,3,99.48
2013,4,98.37
2013,5,97.9
2013,6,98.01
2013,7,98.79
2013,8,99.27
2013,9,99.64
2013,10,99.36
2013,11,99
2013,12,98.79
2014,1,98.6
2014,2,98.04
2014,3,97.55
2014,4,97.93
2014,5,98.71
2014,6,99.29
2014,7,99.47
2014,8,98.98
2014,9,98.18
2014,10,97.6
2014,11,97.17
2014,12,96.46
2015,1,95.27
2015,2,94.62
2015,3,94.66
2015,4,94.38
2015,5,94.77
2015,6,94.51
2015,7,93.92
2015,8,92.94
2015,9,92.78
2015,10,93
2015,11,93.2
2015,12,93.3
2016,1,94.1
2016,2,94.3
2016,3,95.2
2016,4,96.61
2016,5,97.4
2016,6,97.8
2016,7,98.4
2016,8,99.8
2016,9,100.9
2016,10,101.8
2016,11,103.4
2016,12,106.2
2017,1,108.7
2017,2,109.9
2017,3,109.9
2017,4,108.1
2017,5,106.4
2017,6,106.2
2017,7,106.3
2017,8,107.4
2017,9,108.8
2017,10,109.4
2017,11,108.9
2017,12,107.6
