Year,Month,Electricity generation (billion kWh)
2005,1,69.21
2005,2,64.45
2005,3,74.39
2005,4,69.38
2005,5,71.67
2005,6,68
2005,7,69.19
2005,8,78.99
2005,9,70.81
2005,10,73.81
2005,11,76.04
2005,12,90.59
2006,1,80.17
2006,2,77.11
2006,3,86.9
2006,4,77.62
2006,5,82.92
2006,6,85.75
2006,7,88.45
2006,8,87.74
2006,9,81.41
2006,10,79.74
2006,11,85.7
2006,12,90
2007,1,82.41
2007,2,69.85
2007,3,79.65
2007,4,78.77
2007,5,77.42
2007,6,86
2007,7,97.36
2007,8,91.87
2007,9,97.86
2007,10,91.98
2007,11,98.08
2007,12,102.56
2008,1,106.37
2008,2,87.62
2008,3,105.45
2008,4,98.78
2008,5,96.59
2008,6,95.57
2008,7,99.02
2008,8,104.02
2008,9,87.84
2008,10,81.56
2008,11,78.41
2008,12,88.99
2009,1,84.15
2009,2,80.02
2009,3,89.45
2009,4,87.54
2009,5,86.74
2009,6,87.93
2009,7,99.73
2009,8,108.2
2009,9,96.99
2009,10,103.1
2009,11,107.38
2009,12,110.28
2010,1,110.88
2010,2,87.31
2010,3,114.2
2010,4,106.6
2010,5,101.57
2010,6,108.7
2010,7,114.4
2010,8,105
2010,9,103.4
2010,10,104.64
2010,11,111.4
2010,12,112.4
2011,1,117.48
2011,2,94.89
2011,3,123.7
2011,4,106.9
2011,5,111.6
2011,6,115.1
2011,7,118.5
2011,8,128.8
2011,9,109
2011,10,107.7
2011,11,114.4
2011,12,117.6
2012,1,110.87
2012,2,107.7
2012,3,124.9
2012,4,118.8
2012,5,121.3
2012,6,133.2
2012,7,125.9
2012,8,119.9
2012,9,100.5
2012,10,106.5
2012,11,117.1
2012,12,129.4
2013,1,
2013,2,
2013,3,120.59
2013,4,116.77
2013,5,115.56
2013,6,117.5
2013,7,135.45
2013,8,130.75
2013,9,128
2013,10,123.95
2013,11,127.33
2013,12,139.35
2014,1,
2014,2,119.06
2014,3,131.61
2014,4,119.22
2014,5,125.82
2014,6,137.68
2014,7,144.04
2014,8,156.36
2014,9,129.96
2014,10,124.16
2014,11,127.79
2014,12,142.58
2015,1,
2015,2,112.26
2015,3,123.08
2015,4,121.42
2015,5,131.48
2015,6,132.02
2015,7,152.53
2015,8,163.44
2015,9,147.44
2015,10,128.31
2015,11,134.2
2015,12,144.45
2016,1,
2016,2,
2016,3,130.04
2016,4,127.4
2016,5,129.4
2016,6,143.9
2016,7,160.9
2016,8,162.9
2016,9,154.6
2016,10,148.5
2016,11,148
2016,12,154.5
2017,1,
2017,2,
2017,3,146.5
2017,4,123.4
2017,5,124.1
2017,6,154.1
2017,7,168.2
2017,8,170.4
2017,9,151.5
2017,10,155.9
2017,11,155.5
2017,12,170
