Number,Year,Month,avr_air_pressure,avr_wind_spd,avr_temp,avr_water_pressure,rel_humidity,day_precipitation,month_sun,hour_sun,extreme_wind_speed,min_air_pressure,min_temp,max_air_pressure,max_temp,max_wind_speed,day_max_precipitation
54236,2005,1,1014.7,3.2,-11.3,1.6,60,2,66,194.4,16.4,996.6,-22.8,1026.3,4,11.1,2.7
54236,2005,2,1017.6,3.6,-10.4,1.2,44,3,72,215.6,17.2,1005.1,-20.5,1026.8,4.4,11.9,1.2
54236,2005,3,1010.2,4.8,-0.3,2.2,36,0,75,278.1,21,995.5,-17.6,1025.5,17.5,14.6,
54236,2005,4,1000.1,5.2,10.5,6,47,4,59,236.1,25.3,974.8,-5.6,1014.2,24.5,17.3,25.2
54236,2005,5,998.8,4.5,16,9.7,56,15,58,263.4,24.2,989.4,3.6,1007.9,30.1,16.2,17.3
54236,2005,6,992.5,3.9,21.7,19.8,77,19,41,188.5,21.1,984.6,13.4,1001.2,32.3,14.9,31.3
54236,2005,7,994.3,3.1,24.4,24.3,80,15,41,189.7,19,983.2,17.6,1003.7,33,10.5,53.1
54236,2005,8,998,2.8,23.7,23.4,80,12,45,189.6,16.7,988,13.2,1007,31.7,10,22.7
54236,2005,9,1006,3,18.3,14.2,69,6,63,233.5,15.6,994.5,6.1,1012.3,30.3,10.7,20.8
54236,2005,10,1009.8,4.2,10.7,8.1,61,4,68,228.1,18,995.9,-7.7,1028.6,25.2,12.2,11.4
54236,2005,11,1009.8,3.2,1.5,4,53,2,72,208.6,22,995.9,-10.1,1026.8,19.5,14.3,0.2
54236,2005,12,1017.8,3.3,-11.5,1.3,50,1,68,191.3,15.1,999.7,-20.5,1029.5,2.4,9.6,0.3
54236,2006,1,1018.1,2.2,-12.3,1.5,59,4,69,202.7,18.9,1005.1,-27,1029.5,2.1,13.2,3
54236,2006,2,1016.2,4.2,-7.9,2,54,6,62,183,22.8,995.8,-25.3,1036.4,9.8,15.3,5.4
54236,2006,3,1005.3,4.8,0.8,3,46,2,68,254.5,20.1,991.3,-14,1019.7,15.3,13.7,1.1
54236,2006,4,1001.1,4.6,7.9,5,48,5,49,197.3,23.1,978.2,-6.3,1014.4,22.8,15.5,19.5
54236,2006,5,1000.7,4.3,18.3,9.2,46,8,63,285,24.8,989.3,3.7,1015.6,32.1,16.6,15.6
54236,2006,6,993.9,3.3,21.7,17.3,69,14,46,211.6,21.1,979.1,12.5,1002.7,35,12.4,26.4
54236,2006,7,994.6,3.5,24,22.4,76,10,49,226.2,17.6,984.1,12.2,1005.8,33.1,10.4,29.9
54236,2006,8,998.4,3.1,24.2,21.9,74,6,54,230.4,16.7,990.9,11.7,1005.3,33.8,11.5,15.3
54236,2006,9,1005.8,2.7,17.8,13.3,68,7,68,250.8,14.3,992,2.2,1014.2,30.3,9.3,15.7
54236,2006,10,1009.3,3.5,11,8.1,58,6,65,220.7,19.9,998.7,-4.3,1024,28.2,13.4,19.5
54236,2006,11,1010.9,3.5,0,4,59,4,58,169.3,16.1,993.3,-13.9,1028,19.5,10.9,14.1
54236,2006,12,1017.9,2.9,-7.8,2.3,64,0,49,137.1,16.9,1004.3,-20.6,1028,5.6,11.5,
54236,2007,1,1018.1,2.8,-8.1,1.9,58,2,60,177.8,13.9,1004.8,-19.9,1026.6,2.2,8.7,0.7
54236,2007,2,1010.3,4.2,-1.8,3,53,0,64,191,24.7,996.2,-21.8,1023,12.9,17.1,
54236,2007,3,1009,4.2,0.5,4,61,7,55,204.5,22.3,988.3,-15.5,1021.8,14.4,14.5,22.4
54236,2007,4,1004.4,4.2,10.3,5.5,46,3,68,274.4,20,988.3,-3,1016.3,32.6,14.1,10.3
54236,2007,5,995.6,4.1,18.6,10,49,10,62,281.6,21.3,983.5,5.5,1007.7,29.5,14.7,24.2
54236,2007,6,996.4,4.7,24.5,16.9,57,5,62,284.1,21.5,985.7,12.5,1004.3,35.1,14.4,74.9
54236,2007,7,993.6,2.7,24.4,24.1,81,9,54,249.7,15.8,986.2,11.9,1001.4,34.3,10.5,23.4
54236,2007,8,997.5,2.8,24,22.6,77,7,63,266.1,20.1,983.3,13,1006.5,32.8,11.8,36.8
54236,2007,9,1004.6,2.2,18.9,14.3,68,6,67,249.6,12.4,996.4,4.9,1015.5,31.2,8,3.1
54236,2007,10,1010.7,2.9,9.3,7.5,61,4,61,206.8,21,998.3,-6.5,1022,26.6,13.3,13.8
54236,2007,11,1014.8,3.4,-0.4,3.8,59,2,63,182.8,20.5,1000.1,-16.3,1028.1,14,13.9,1.5
54236,2007,12,1013.8,2.5,-8.8,2.3,72,4,53,145.2,18.2,1002.2,-24.9,1027.1,3.7,12.1,4.2
54236,2008,1,1020.8,2.5,-12.6,1.4,57,,78,228.3,13.1,1005.7,-24.6,1034.9,0.3,9.3,
54236,2008,2,1016.3,3.1,-7,1.6,44,1,75,230.5,18.6,993.4,-19.9,1029.3,14.5,12.3,0.1
54236,2008,3,1007.4,4.1,4,4.2,52,8,57,210.4,20.8,995.9,-10.5,1018.8,16.8,13.7,2.4
54236,2008,4,1002.5,5.1,12,7.5,55,6,50,202,21.3,991.2,-3.6,1013.5,28.4,15.1,13.8
54236,2008,5,997.2,3.7,16.6,11.4,64,14,50,226.1,18,984.5,5.7,1008.3,28.6,12.4,12.5
54236,2008,6,997.7,3,21.2,19.1,78,11,38,172.4,16.6,989.3,9,1006.2,33.3,11,15.8
54236,2008,7,994.9,3,24.6,26.6,87,10,45,205.8,17.2,981.4,16.9,1002.6,32.5,11.7,50.4
54236,2008,8,997.8,3,23.4,24,85,10,49,208.7,16.8,990.3,13.9,1004.3,32,11.2,66.5
54236,2008,9,1003.7,3,18,14.2,69,3,71,264.9,20.9,992.7,2.4,1014.2,30.4,10.9,27.2
54236,2008,10,1007.8,3.4,11.3,8.5,62,4,69,232.1,19.3,997.8,-6.7,1016.3,26.3,12.5,18
54236,2008,11,1012,3.4,0.2,3.7,58,1,66,190.3,21.6,993.2,-13.1,1023.8,20.3,14,2.4
54236,2008,12,1013.1,3.8,-7.3,2,50,1,63,177.8,22.1,997,-20.4,1029.5,11.2,14,0.2
54236,2009,1,1016.2,3.2,-10.2,1.5,51,2,72,210.7,18.1,1000.4,-22.3,1029.1,5.5,12.2,0.1
54236,2009,2,1011.3,3.4,-7.1,2.1,56,3,69,206.8,22.4,991.3,-25,1027.4,7.9,16.1,13.1
54236,2009,3,1008.9,4.3,0.4,3.5,54,4,67,249.3,22.2,986.1,-11.7,1027.5,16.4,14.4,1.9
54236,2009,4,1003.6,4.4,11.5,7,55,7,57,228,22.5,984.3,-4.1,1016.6,27.2,15,35
54236,2009,5,999.6,4.7,19.3,10.5,50,5,62,281.3,23.4,985.4,6.4,1007.7,31.5,15.8,14.5
54236,2009,6,991.7,3.8,21.3,17,68,14,44,201.7,20.8,981.6,10.4,1002.3,33.1,13,19.2
54236,2009,7,993.7,3.4,23.4,23.3,82,14,51,235.9,22.8,986.5,16.3,1000,31.5,13.7,97.1
54236,2009,8,998.4,2.9,23.2,21.6,77,6,62,264.3,19,989.3,7.1,1009.2,34.6,12.9,28.1
54236,2009,9,1003.6,3.3,17.2,12.8,67,4,63,231.7,17.7,992.3,2.1,1012.1,30.2,13.3,1.8
54236,2009,10,1006.7,3.3,9.8,7,59,8,69,233.1,18.7,986.8,-3.2,1022.9,23.3,12.5,8.1
54236,2009,11,1015.8,4,-4.2,3.3,65,3,64,184,19.5,995.5,-19.8,1028.3,17.9,12.8,5.2
54236,2009,12,1014.5,2.7,-11.2,1.9,63,4,61,172,18.1,1000.8,-29.7,1023.9,3.6,11.5,4
54236,2010,1,1015.8,3.4,-12.3,1.7,63,5,55,162,20.4,1000.4,-30.9,1027.7,2.8,14,3.2
54236,2010,2,1014.2,3.4,-8.9,1.9,55,3,64,189.5,16.8,992.3,-23.1,1027.9,4.6,10.5,3.3
54236,2010,3,1011,4.5,-2.3,2.9,54,7,63,234.7,28.5,990.6,-17.3,1032.3,12.6,18.1,10.3
54236,2010,4,1005.9,4.7,6.3,5,54,9,44,178.4,30,991.5,-4.9,1017.2,21.1,19.5,10.6
54236,2010,5,998.1,4.3,16.4,12.1,68,13,41,187.5,21,982.9,5,1010.2,32.6,15.4,59.9
54236,2010,6,998.8,3.4,23.4,16.2,59,6,60,272,17.7,988.7,11.4,1008.5,34.8,11.2,4.5
54236,2010,7,995.3,3.2,24.3,26,87,19,29,134.9,17.1,987.4,17.2,1004,34,11.6,91.5
54236,2010,8,998.9,2.7,22.5,22.9,85,9,51,215.8,15.4,986.4,13.8,1007.3,30.7,9.4,62.4
54236,2010,9,1004.7,2.8,17.4,15,74,6,60,221.7,16,996.8,0.6,1013.5,31,10.8,17.4
54236,2010,10,1010.6,3.6,8.2,7.8,66,4,52,174.8,17.3,996.2,-7.4,1027.9,23.7,10.5,29.3
54236,2010,11,1009.5,3.6,0.7,4.7,67,10,50,145.2,18,987.9,-16.3,1026.6,15.9,12.3,28.1
54236,2010,12,1008.4,3.4,-9.6,2.1,60,3,44,124.3,19,989.2,-28,1027,7.4,12.2,2.9
54236,2011,1,1019.7,2.7,-13.5,1.1,50,1,77,227.5,13.1,1005.5,-24.2,1033,7.2,8.6,0.1
54236,2011,2,1013.9,3.5,-5.9,2.3,55,4,55,162,19.9,999.1,-18.7,1024,10.7,14.1,4.7
54236,2011,3,1010.6,4,0.7,2.6,41,0,65,243.4,17.7,996.5,-12.2,1019.3,19.5,11.6,
54236,2011,4,1002.9,4.5,9.4,5,44,3,61,244,19.6,987.7,-6.4,1021,26.3,13.4,4.7
54236,2011,5,997.5,4.3,17.2,9.5,51,9,61,278,21.9,987.4,2.2,1005.2,30.2,13.9,22.2
54236,2011,6,994.6,3.6,21.2,17.9,73,12,46,209.4,20.3,985.6,12.1,1004.3,31.7,13.3,20.1
54236,2011,7,994,3.1,23.9,24.8,85,14,33,153.6,18.1,984.3,13.6,1000.2,34.9,12.1,42.4
