Year,Month,Residential investment volume (Cumulative year-on-year %)
2005,1,
2005,2,51
2005,3,5.2
2005,4,6.6
2005,5,1.3
2005,6,10.8
2005,7,13.6
2005,8,16.1
2005,9,18.6
2005,10,18.7
2005,11,25.6
2005,12,27.8
2006,1,
2006,2,14.8
2006,3,49.2
2006,4,57
2006,5,45
2006,6,53.5
2006,7,49.7
2006,8,47
2006,9,43
2006,10,43.5
2006,11,42.1
2006,12,36.5
2007,1,
2007,2,44.6
2007,3,54
2007,4,42.1
2007,5,37.7
2007,6,32.9
2007,7,33.5
2007,8,35.7
2007,9,40
2007,10,40.9
2007,11,39.8
2007,12,39
2008,1,
2008,2,51
2008,3,72.6
2008,4,54.6
2008,5,46.7
2008,6,57.5
2008,7,49.9
2008,8,49.6
2008,9,45.9
2008,10,43.4
2008,11,39.7
2008,12,35.1
2009,1,
2009,2,89.4
2009,3,44.4
2009,4,42.8
2009,5,38.7
2009,6,29.8
2009,7,29
2009,8,28.3
2009,9,26.2
2009,10,25.5
2009,11,24.7
2009,12,22.4
2010,1,
2010,2,46.2
2010,3,46.4
2010,4,33.9
2010,5,35.3
2010,6,37.1
2010,7,36.2
2010,8,35
2010,9,33.6
2010,10,31.6
2010,11,30.3
2010,12,28.3
2011,1,
2011,2,25.5
2011,3,28.5
2011,4,35.7
2011,5,38.1
2011,6,38.6
2011,7,39.5
2011,8,39
2011,9,38.4
2011,10,39.3
2011,11,38.2
2011,12,37.6
2012,1,
2012,2,23.8
2012,3,31
2012,4,22.4
2012,5,18.8
2012,6,15.3
2012,7,13.8
2012,8,13.7
2012,9,13.5
2012,10,15.7
2012,11,16.8
2012,12,16.2
2013,1,
2013,2,18.5
2013,3,20.2
2013,4,23.6
2013,5,30
2013,6,21.4
2013,7,23.8
2013,8,22.2
2013,9,24.6
2013,10,21.6
2013,11,19.8
2013,12,17.8
2014,1,
2014,2,26.5
2014,3,25.9
2014,4,23.1
2014,5,8.9
2014,6,7.1
2014,7,1.2
2014,8,-2.7
2014,9,-10.4
2014,10,-13
2014,11,-15.9
2014,12,-17.6
2015,1,
2015,2,-2.4
2015,3,-20.2
2015,4,-23.4
2015,5,-23.3
2015,6,-25.9
2015,7,-24.1
2015,8,-24.1
2015,9,-26.4
2015,10,-28.6
2015,11,-31.1
2015,12,-32.3
2016,1,
2016,2,-8.3
2016,3,-8.1
2016,4,-14.9
2016,5,-23.4
2016,6,-33.1
2016,7,-37.3
2016,8,-39.5
2016,9,-40.9
2016,10,-42.2
2016,11,-42.3
2016,12,-42.2
2017,1,
2017,2,-6.5
2017,3,-11.8
2017,4,-18.3
2017,5,-21.6
2017,6,-17.7
2017,7,-13.6
2017,8,-7.2
2017,9,0
2017,10,6.2
2017,11,10.3
2017,12,11.2
